page_url,element_type,tag_name,id,classes,text,href,selector_css
https://platotech.com/training/,link,a,,fusion-logo-link,,https://platotech.com/,body > div:nth-child(1) > div:nth-child(1) > div > div > div > div:nth-child(1) > div > a
https://platotech.com/training/,link,a,,fusion-top-menu-item-link,Services,https://platotech.com/services/,#menu-item-2608 > a
https://platotech.com/training/,link,a,,fusion-top-menu-item-link,Training Program,https://platotech.com/training/,#menu-item-2609 > a
https://platotech.com/training/,link,a,,fusion-top-menu-item-link,Careers,https://platotech.com/careers/,#menu-item-2610 > a
https://platotech.com/training/,link,a,,fusion-top-menu-item-link,About Us,https://platotech.com/about/,#menu-item-2607 > a
https://platotech.com/training/,link,a,,fusion-top-menu-item-link,Resources,https://platotech.com/resources/,#menu-item-2611 > a
https://platotech.com/training/,link,a,,fusion-button button-flat button-medium button-default button-1 fusion-button-default-span fusion-button-default-type,Let’s Talk Solutions,https://platotech.com/lets-talk-solutions/,body > div:nth-child(1) > div:nth-child(1) > div > div > div > div:nth-child(3) > div > nav > ul > li:nth-child(7) > a
https://platotech.com/training/,link,a,,fusion-main-menu-icon,About,#training-about,#menu-item-2649 > a
https://platotech.com/training/,link,a,,fusion-main-menu-icon,Train-and-Employ Model,#training-model,#menu-item-2650 > a
https://platotech.com/training/,link,a,,fusion-main-menu-icon,Availability and Requirements,#training-availability,#menu-item-2651 > a
https://platotech.com/training/,link,a,,fusion-main-menu-icon,Application Form,#training-application,#menu-item-2652 > a
https://platotech.com/training/,link,a,,fusion-main-menu-icon,FAQ,#training-faq,#menu-item-2653 > a
https://platotech.com/training/,link,a,,fusion-main-menu-icon,Testimonials,#training-testimonials,#menu-item-2654 > a
https://platotech.com/training/,link,a,,,Home,https://platotech.com/,body > div:nth-child(1) > div:nth-child(3) > div > div > div > div > a:nth-child(1)
https://platotech.com/training/,link,a,,fusion-button button-flat button-large button-default button-1 fusion-button-default-span fusion-button-default-type,Apply Now,#training-application,body > div:nth-child(1) > main > div > div > div > section:nth-child(4) > div > div > div > div > div > a
