page_url,element_type,tag_name,id,classes,text,href,selector_css
https://platotech.com/careers/,link,a,,fusion-logo-link,,https://platotech.com/,body > div:nth-child(1) > div:nth-child(1) > div > div > div > div:nth-child(1) > div > a
https://platotech.com/careers/,link,a,,fusion-top-menu-item-link,Services,https://platotech.com/services/,#menu-item-2608 > a
https://platotech.com/careers/,link,a,,fusion-top-menu-item-link,Training Program,https://platotech.com/training/,#menu-item-2609 > a
https://platotech.com/careers/,link,a,,fusion-top-menu-item-link,Careers,https://platotech.com/careers/,#menu-item-2610 > a
https://platotech.com/careers/,link,a,,fusion-top-menu-item-link,About Us,https://platotech.com/about/,#menu-item-2607 > a
https://platotech.com/careers/,link,a,,fusion-top-menu-item-link,Resources,https://platotech.com/resources/,#menu-item-2611 > a
https://platotech.com/careers/,link,a,,fusion-button button-flat button-medium button-default button-1 fusion-button-default-span fusion-button-default-type,Let’s Talk Solutions,https://platotech.com/lets-talk-solutions/,body > div:nth-child(1) > div:nth-child(1) > div > div > div > div:nth-child(3) > div > nav > ul > li:nth-child(7) > a
https://platotech.com/careers/,link,a,,,Home,https://platotech.com/,body > div:nth-child(1) > div:nth-child(3) > div > div > div > div > a:nth-child(1)
https://platotech.com/careers/,link,a,,fusion-button button-flat button-large button-default button-1 fusion-button-default-span fusion-button-default-type,View Current Openings,https://platotech.com/current-openings/,body > div:nth-child(1) > main > div > div > div > section:nth-child(2) > div > div > div > div > div > a
https://platotech.com/careers/,link,a,,fusion-button button-flat button-large button-default button-1 fusion-button-default-span fusion-button-default-type,Let’s Talk Solutions,https://platotech.com/lets-talk-solutions/,body > div:nth-child(1) > div:nth-child(4) > div > div > div > div:nth-child(1) > div > div > a
https://platotech.com/careers/,link,a,,fusion-button button-flat button-large button-default button-2 fusion-button-default-span fusion-button-default-type,Subscribe,https://platotech.us10.list-manage.com/subscribe?u=01b55587448150a600b7c501b&id=9710a03091,body > div:nth-child(1) > div:nth-child(4) > div > div > div > div:nth-child(2) > div > div:nth-child(2) > a
